Designator,Footprint,Quantity,Value,LCSC Part #
"12VLED1, 3V3LED6",0402,2,RED_LED,
"3V3LED1, 3V3LED2, 3V3LED3, 3V3LED4, 3V3LED8",0402,5,BLUE_LED,
3V3LED10,0402,1,PURPLE_LED,
3V3LED5,0402,1,ORANGE_LED,
3V3LED7,0402,1,YELLOW_LED,
"3V3LED9, TXLED1",0402,2,GREEN_LED,
"BOOTJUMPER1, ENJUMPER1",PinHeader_1x02_P2.54mm_Vertical,2,Conn_01x02_Male,
"C1, C15, C17, C21, C23, C58, C68",0402,7,10uF,
"C10, C11, C24, C3, C35, C36, C5, C6, C76, C77, C8, C84",0402,12,0.1uF,
"C12, C13",0402,2,11pF,
"C14, C34, C54, C56, C59, C66, C67, C69, C83, C86",0402,10,100nF,
C16,0402,1,47nF,
"C18, C61",0603,2,10uF,
"C19, C2, C25, C37, C4, C51, C60, C7, C73, C82",0402,10,1uF,
C20,0603,1,22uF,
"C22, C26, C74",0402,3,4.7uF,
"C27, C28, C40, C57, C75, C80, C85",1206,7,47uF,
C29,CP_Elec_6.3x7.7,1,470uF,
"C30, C32",1206,2,DNP,
"C31, C33",0805,2,10uF,
"C39, C52, C53, C64",0805,4,22uF,
C48,0603,1,2.2uF,
C49,0402,1,180pF,
C50,0402,1,3.9nF,
"C55, C65",0402,2,2.2uF,
C62,0402,1,120pF,
"C63, C87",0402,2,2.2nF,
C70,1206,1,22uF,
C78,0603,1,680pF,
C81,0402,1,220nF,
C88,0603,1,1uF,
C9,0402,1,10nF,
CANRXLED1,0402,1,CANRXLED,
CANTXLED1,0402,1,CANTXLED,
D1,SOT-23,1,SM712_SOT23,
D2,SOT-143,1,SP0503BAHT,
D3,TO-277B,1,DST1550S,
D4,0603,1,RED_LED,
Firing1,0402,1,EMERALD_LED,
"H1, H2, H3, H4",MountingHole_3.2mm_M3_DIN965_Pad,4,MountingHole_Pad,
"IC1, IC4",IC_TPS61089RNRR,2,TPS61089RNRR,
"IC2, IC3",SOT95P282X145-5N,2,AP2205-W5-7,
J1,Molex_Mini-Fit_Jr_5566-06A_2x03_P4.20mm_Vertical,1,RBUS,
J12,"TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",1,Conn_01x02_Male,
J13,microSD_HC_Hirose_DM3AT-SF-PEJM5,1,Micro_SD_Card_Det,
"J14, J15, J16, J17, J18, J7",Molex_Nano-Fit_105313-xx04_1x04_P2.50mm_Horizontal,6,1053131104,
J2,USB_C_Receptacle_Palconn_UTC16-G,1,USB_C_Receptacle_USB2.0,
J3,Molex_Nano-Fit_105313-xx03_1x03_P2.50mm_Horizontal,1,ServoCH1,
J4,Molex_Nano-Fit_105313-xx03_1x03_P2.50mm_Horizontal,1,ServoCH2,
